chr	strand	gene_locus	gene_id	gene_name	gene_biotype	sites_position_cDNA	sites_num	cDNA_sum	c1.d14_WT1	c2.d14_WT2	c3.d14_WT3	c4.d14_WT4	t1.d14_HOM1	t2.d14_HOM2	t3.d14_HOM3	t4.d14_HOM4	logFC	logCPM	PValue	FDR
14	-	chr14:56722440-56778315	ENSMUSG00000021938	Pspc1	protein_coding	[56722454, 56722791]	2	1256	111.5	137.8	130.5	124.2	186	223.7	226.1	200.9	0.718485597690303	7.41135415581894	6.79675849347376e-08	0.000637535946687839
13	+	chr13:23738807-23740366	ENSMUSG00000036181	Hist1h1c	protein_coding	[23740361]	1	201	33.1	41.7	40.9	29.9	20.7	13.6	14.2	14.1	-1.27261117828173	4.84128191610141	2.14550231521855e-07	0.0010062405858375
7	+	chr7:127983078-127985700	ENSMUSG00000063254	B230325K18Rik	protein_coding	[127984882]	1	109	1.7	7.6	8	9.2	22	13.6	26.2	28.3	1.6426257654558	4.0680747759929	9.71706305235496e-07	0.00303820171436965
2	-	chr2:114047281-114053547	ENSMUSG00000068614	Actc1	protein_coding	[114047287]	1	99	1.7	2.3	0	4.6	28.9	10.5	5.5	55.5	3.50204579879621	3.95483940149345	1.64891821045735e-06	0.00386671320352249
1	-	chr1:135160233-135167680	ENSMUSG00000026424	Gpr37l1	protein_coding	[135160251]	1	96	27.9	25	15.1	12.6	8.3	6.3	5.5	2	-1.86985426106293	3.8969679154013	4.01236665064532e-06	0.00596255192050278
1	-	chr1:123321470-124045558	ENSMUSG00000036815	Dpp10	protein_coding	[123333736, 123333273, 123341147]	3	416	71.4	68.9	63.1	75.9	46.8	35.5	39.3	43.4	-0.755099836049098	5.84749704087464	4.22552418050824e-06	0.00596255192050278
7	-	chr7:144929930-144939868	ENSMUSG00000070348	Ccnd1	protein_coding	[144929931]	1	241	48.8	47.7	40.9	35.6	27.6	16.7	25.1	14.1	-1.07239404542245	5.09436616438186	4.93239182531117e-06	0.00596255192050278
15	+	chr15:3268546-3280507	ENSMUSG00000064373	Sepp1	protein_coding	[3280505]	1	2478	465	460.4	378.3	335.7	312.8	232.1	255.6	203.9	-0.710147896219798	8.37470317387701	5.08533212836058e-06	0.00596255192050278
8	+	chr8:94172617-94173566	ENSMUSG00000031762	Mt2	protein_coding	[94173561]	1	2051	430.1	348.3	296.6	320.7	249.4	190.3	238.1	151.4	-0.749352287417191	8.12241194112235	7.87132982416948e-06	0.00820367486118997
18	-	chr18:31942996-31949635	ENSMUSG00000052229	Gpr17	protein_coding	[31943014]	1	574	92.3	103.7	107.5	73.6	70.3	52.3	56.8	46.4	-0.768319423298791	6.28367626389491	1.75058848263058e-05	0.0164205199670748
9	-	chr9:58287722-58313211	ENSMUSG00000032334	Loxl1	protein_coding	[58288601]	1	104	20.9	18.9	18.6	21.8	6.9	2.1	13.1	8.1	-1.38278290250568	3.99933736605688	2.96926010601849e-05	0.0237589983748609
1	-	chr1:173331885-173333749	ENSMUSG00000037872	Ackr1	protein_coding	[173331890]	1	966	162	138.6	153.6	174.7	86.8	85.7	113.6	117.1	-0.625914120751815	7.03362977840515	3.03953070893742e-05	0.0237589983748609
11	+	chr11:77982753-78030538	ENSMUSG00000037791	Phf12	protein_coding	[78030532]	1	375	43.5	43.9	36.4	33.3	70.3	60.6	56.8	61.6	0.655759128742377	5.71750433072845	0.000105793761357382	0.0731300516147354
3	-	chr3:87987530-88000229	ENSMUSG00000004892	Bcan	protein_coding	[87987534]	1	2925	609.5	443	460	420.7	387.2	236.3	321.1	307.8	-0.623738701807134	8.63819812925989	0.000109149330768262	0.0731300516147354
14	-	chr14:79288755-79301644	ENSMUSG00000022018	Rgcc	protein_coding	[79288750]	1	177	38.3	33.3	24	34.5	22	7.3	15.3	17.2	-1.06957708284175	4.6891277615925	0.000120634020356388	0.0754364740628615
17	-	chr17:17527722-17624488	ENSMUSG00000023845	Lnpep	protein_coding	[17523210]	1	249	38.3	45.4	44.4	37.9	27.6	15.7	20.8	30.3	-0.845041986513873	5.13330439560749	0.000133070281304756	0.0780124524149131
18	+	chr18:82475145-82585636	ENSMUSG00000041607	Mbp	protein_coding	[82585626, 82558682]	2	450	123.6	85.6	57.7	58.6	52.4	30.3	44.8	42.4	-0.917891301003674	5.97024774548871	0.000156056766546819	0.0861066158946567
4	+	chr4:132308677-132311023	ENSMUSG00000086290	Snhg12	lincRNA	[132311022]	1	500	57.5	47	56.8	57.5	74.4	91	75.4	81.8	0.583797458830262	6.11973845473351	0.000231516225110012	0.10726576845006
3	+	chr3:102995707-103008458	ENSMUSG00000027854	Sike1	protein_coding	[103003478]	1	465	71.4	84.1	72.8	65.5	55.1	46	42.6	51.5	-0.613121003042141	5.99211525743643	0.000234058855230193	0.10726576845006
8	+	chr8:72723287-72758202	ENSMUSG00000031622	Sin3b	protein_coding	[72758200, 72739900]	2	1572	195	173.4	160.7	187.4	267.3	222.7	240.3	262.4	0.478273726112511	7.7490205800348	0.000235943588974957	0.10726576845006
11	-	chr11:76120986-76243724	ENSMUSG00000017286	Glod4	protein_coding	[76176960, 76175121, 76221748]	3	462	45.3	54.5	48	50.6	81.3	72.1	66.6	77.7	0.561176278668607	6.00310572954535	0.000240147242798641	0.10726576845006
11	+	chr11:83473085-83506742	ENSMUSG00000020680	Taf15	protein_coding	[83489212, 83506741]	2	1046	111.5	109	112.8	121.9	133.7	204.9	170.4	157.5	0.557352274893667	7.15515997284691	0.000255522288186341	0.108945411963086
9	-	chr9:81628290-81633827	ENSMUSG00000049511	Htr1b	protein_coding	[81629039, 81628295]	2	533	85.3	85.6	84.4	85.1	66.1	40.8	55.7	64.6	-0.591110755545275	6.19145331178896	0.000302245976200466	0.12326379377219
2	+	chr2:172345564-172355748	ENSMUSG00000027495	Fam210b	protein_coding	[172355748]	1	76	8.7	6.8	4.4	4.6	13.8	17.8	14.2	13.1	1.3016258740292	3.62698998811385	0.000317867362213637	0.12423316073183
8	+	chr8:123477902-123503915	ENSMUSG00000031967	Afg3l1	protein_coding	[123503914]	1	430	31.3	47	49.7	50.6	68.9	68	79.7	62.6	0.600411645688125	5.8994143272176	0.000336226260328956	0.126152092875424
8	-	chr8:124556533-124569705	ENSMUSG00000031980	Agt	protein_coding	[124556587]	1	80	24.4	16.7	14.2	9.2	8.3	6.3	5.5	3	-1.45234568288082	3.68049035203323	0.000363213383585552	0.131036213001249
10	+	chr10:89873508-90973299	ENSMUSG00000058589	Anks1b	protein_coding	[90091908, 90104710]	2	63	3.5	7.6	2.7	3.4	12.4	10.5	10.9	16.1	1.41596377383454	3.40206062472185	0.000389774086445563	0.131662014090375
18	-	chr18:69979130-70141604	ENSMUSG00000024511	Rab27b	protein_coding	[69979135]	1	242	43.5	45.4	28.4	47.1	19.3	27.2	22.9	23.2	-0.798776429822744	5.10175701530504	0.00039302093758321	0.131662014090375
7	-	chr7:89507784-89517585	ENSMUSG00000039405	Prss23	protein_coding	[89509108]	1	120	20.9	25.7	17.8	19.5	5.5	9.4	13.1	12.1	-1.03771130467595	4.17269596913436	0.000453398061755468	0.14665082135401
2	-	chr2:110360916-110363182	ENSMUSG00000074971	Fibin	protein_coding	[110361331, 110360925]	2	209	31.3	37.9	40	33.3	26.2	7.3	18.6	24.2	-0.940670345296946	4.89902134902721	0.000537180003020723	0.161403537088035
7	+	chr7:127211607-127214297	ENSMUSG00000030672	Mylpf	protein_coding	[127214286]	1	97	8.7	4.5	3.6	1.1	28.9	9.4	3.3	48.4	2.36661565033911	3.92915955997337	0.000540952073198051	0.161403537088035
18	+	chr18:35557131-35557241	ENSMUSG00000104863	AC121821.1	miRNA	[35557883]	1	396	41.8	41.7	39.1	48.3	78.5	65.9	56.8	59.5	0.602766003794614	5.79756049100775	0.000550630403711848	0.161403537088035
19	-	chr19:47033618-47050844	ENSMUSG00000025050	Pcgf6	protein_coding	[47033618]	1	429	45.3	46.2	39.1	56.3	75.8	68	61.2	73.7	0.580775266559792	5.9067014855582	0.000570562533695057	0.162178077759383
5	+	chr5:143548705-143564530	ENSMUSG00000083012	Fam220a	protein_coding	[143551936]	1	149	15.7	10.6	18.6	12.6	27.6	29.3	26.2	22.2	0.882587313805463	4.47303528625052	0.000776981691444356	0.214355537227884
9	+	chr9:65032457-65082649	ENSMUSG00000032393	Dpp8	protein_coding	[65084500]	1	1415	254.3	209	210.5	220.7	166.7	116	169.3	178.6	-0.496186028396497	7.58515753185021	0.000841803732405057	0.225603400284555
X	-	chrX:139821631-139871676	ENSMUSG00000031434	Morc4	protein_coding	[139821905]	1	71	19.2	12.1	13.3	10.3	2.8	5.2	5.5	8.1	-1.22010440427067	3.53783863813594	0.000926171381095406	0.23024789234682
6	-	chr6:127689010-127769471	ENSMUSG00000030350	Prmt8	protein_coding	[127689019]	1	393	62.7	62.1	67.5	57.5	49.6	38.7	47	33.3	-0.587529039131946	5.76710889180585	0.000936383147263141	0.23024789234682
17	-	chr17:14665499-14694261	ENSMUSG00000023885	Thbs2	protein_coding	[14665498]	1	53	8.7	11.4	10.7	9.2	0	5.2	3.3	5	-1.47123838631402	3.19670834535424	0.000944345794879372	0.23024789234682
10	+	chr10:20952546-21080427	ENSMUSG00000019986	Ahi1	protein_coding	[21080427]	1	2960	454.5	435.4	428.9	452.9	329.3	354.4	351.7	350.2	-0.350887648103919	8.63202601045735	0.000957320661143495	0.23024789234682
8	+	chr8:18846276-18891360	ENSMUSG00000031467	Agpat5	protein_coding	[18883416, 18882051, 18891355, 18884412]	4	1324	203.7	195.4	230	183.9	151.6	123.4	145.3	170.6	-0.462452575667623	7.47432715504875	0.00104069486799073	0.237142763893356
8	+	chr8:94601954-94660274	ENSMUSG00000050079	Rspry1	protein_coding	[94659752, 94660274]	2	383	67.9	62.9	59.5	59.8	40	35.5	26.2	55.5	-0.653120735896864	5.73007060379069	0.0010478276932119	0.237142763893356
1	-	chr1:172271708-172298063	ENSMUSG00000007097	Atp1a2	protein_coding	[172271709, 172272510, 172272743]	3	1166	162	225.7	165.2	164.4	135	104.5	147.4	114.1	-0.532874073716166	7.27847097717613	0.00106183327116428	0.237142763893356
13	-	chr13:47025169-47044736	ENSMUSG00000021376	Tpmt	protein_coding	[47023542]	1	74	5.2	6.8	3.6	8	8.3	18.8	15.3	13.1	1.24159919131717	3.59189003994914	0.00116575688422975	0.254297664513374
18	-	chr18:39410544-39491300	ENSMUSG00000024431	Nr3c1	protein_coding	[39410557]	1	215	48.8	30.3	37.3	33.3	26.2	13.6	22.9	23.2	-0.76607055319402	4.95433919645022	0.00127059756065184	0.270868298157143
7	+	chr7:66060298-66074581	ENSMUSG00000030512	Snrpa1	protein_coding	[66074579]	1	465	55.7	50.7	48	50.6	62	89.9	77.5	66.6	0.551040156049897	6.01444523148172	0.00132697729835916	0.276601045746866
11	+	chr11:58948919-58949532	ENSMUSG00000056895	Hist3h2ba	protein_coding	[58949531]	1	3958	515.5	652	603	679.4	425.8	288.5	474	516.8	-0.525209279642764	9.02926383878309	0.00149973393581988	0.305815311260663
7	+	chr7:39571671-39576230	ENSMUSG00000100214	6230415J03Rik	lincRNA	[39573856]	1	68	5.2	5.3	8	3.4	13.8	12.5	16.4	9.1	1.16369340763919	3.49375158993989	0.00162164347483417	0.323638633913713
14	-	chr14:31237695-31251217	ENSMUSG00000021902	Phf7	protein_coding	[31237695]	1	43	12.2	8.3	8.9	5.7	1.4	0	3.3	6.1	-1.56857672768832	2.97663658746073	0.00175433220504386	0.339816654257777
2	-	chr2:91061790-91070416	ENSMUSG00000002105	Slc39a13	protein_coding	[91061790]	1	243	27.9	28	17.8	29.9	37.2	40.8	42.6	39.4	0.651975128080244	5.1222085654697	0.00187212626053109	0.339816654257777
18	+	chr18:80206764-80212740	ENSMUSG00000024571	Gm16286	protein_coding	[80212735]	1	259	31.3	23.5	31.1	21.8	34.4	51.2	36	49.5	0.701129835636389	5.20630557245021	0.0018871587521312	0.339816654257777
19	+	chr19:25236974-25434495	ENSMUSG00000032702	Kank1	protein_coding	[25434496]	1	748	135.8	111.3	112.8	109.2	89.6	70	98.3	79.7	-0.462598265250931	6.67811302227747	0.00190347881378053	0.339816654257777
9	-	chr9:79598990-79718830	ENSMUSG00000032332	Col12a1	protein_coding	[79598992]	1	224	22.6	58.3	40	25.3	13.8	12.5	19.7	27.3	-1.02767605604107	4.9647571716653	0.00191423763399777	0.339816654257777
4	-	chr4:46155346-46196310	ENSMUSG00000028329	Xpa	protein_coding	[46175221]	1	180	17.4	18.2	19.5	16.1	20.7	34.5	30.6	34.3	0.761312599954883	4.71270146799695	0.00192007277992134	0.339816654257777
2	-	chr2:130279308-130284546	ENSMUSG00000027406	Idh3b	protein_coding	[130279312]	1	740	87.1	69.7	94.1	75.9	108.8	155.8	107	100.9	0.542150542704595	6.67031854034099	0.00198108050124488	0.343803578268461
19	-	chr19:44073334-44107479	ENSMUSG00000025199	Chuk	protein_coding	[44073335]	1	976	108	112.1	119.9	105.8	133.7	144.3	152.9	165.5	0.418409641635006	7.05179918495687	0.00204365235012179	0.343803578268461
X	-	chrX:49009706-49288258	ENSMUSG00000031109	Enox2	protein_coding	[49010512]	1	79	7	7.6	6.2	6.9	16.5	16.7	12	13.1	1.04789168275525	3.67211334778369	0.00205565033274649	0.343803578268461
8	+	chr8:36457547-36514319	ENSMUSG00000039620	6430573F11Rik	protein_coding	[36513010]	1	91	15.7	16.7	14.2	18.4	9.6	3.1	8.7	10.1	-1.04062196093828	3.83461252322262	0.00208921150973372	0.343803578268461
3	+	chr3:90612881-90624180	ENSMUSG00000001025	S100a6	protein_coding	[90614413]	1	725	120.2	159.8	90.6	87.4	75.8	64.8	89.6	68.6	-0.624394711871942	6.60481522990962	0.00213559896986203	0.345377902367342
12	+	chr12:111540940-111541066	ENSMUSG00000064493	Snora28	snoRNA	[111544926]	1	229	43.5	31	34.6	44.8	22	27.2	26.2	19.2	-0.654749840704615	5.03800214661358	0.00221668347389716	0.349734576654202
16	+	chr16:91269771-91271932	ENSMUSG00000046160	Olig1	protein_coding	[91271929]	1	1560	236.8	243.1	239.8	231.1	209.4	196.5	159.5	147.4	-0.422725635713309	7.71401399520737	0.00223710816623157	0.349734576654202
13	-	chr13:81095067-81633153	ENSMUSG00000069170	Adgrv1	protein_coding	[81095068]	1	60	1.7	1.5	8	5.7	15.2	9.4	7.6	16.1	1.42975499801264	3.35101596846371	0.00229334996739698	0.352649552363667
7	+	chr7:16842901-16870460	ENSMUSG00000041187	Prkd2	protein_coding	[16870357]	1	83	24.4	13.6	16	11.5	5.5	3.1	13.1	4	-1.27560905957378	3.72754665046833	0.00234850813471199	0.355306553283846
2	-	chr2:5020641-5064050	ENSMUSG00000026672	Optn	protein_coding	[5019092]	1	275	43.5	55.3	45.3	31	33.1	24	27.3	27.3	-0.687611229490749	5.26531173739378	0.00241989119867126	0.357902491030648
17	+	chr17:86167784-86657918	ENSMUSG00000045038	Prkce	protein_coding	[86657917]	1	1410	215.9	212	200.7	224.2	161.2	177.7	140.9	170.6	-0.386386967586408	7.56997123228317	0.00247132978561903	0.357902491030648
17	+	chr17:35879818-35892669	ENSMUSG00000024422	Dhx16	protein_coding	[35892664]	1	114	8.7	11.4	11.5	11.5	23.4	23	18.6	15.1	0.833312141223641	4.12454648810135	0.00250037102419409	0.357902491030648
9	+	chr9:69397905-69433121	ENSMUSG00000032235	Ice2	protein_coding	[69433072]	1	137	26.1	27.3	17.8	23	9.6	7.3	17.5	16.1	-0.863614421787771	4.34736684785658	0.0025182904486165	0.357902491030648
14	-	chr14:73183672-73325821	ENSMUSG00000022105	Rb1	protein_coding	[73195502]	1	422	48.8	34.1	54.2	50.6	62	61.7	76.5	70.7	0.55543397082347	5.88524480071599	0.00258466850107476	0.361853590150466
7	+	chr7:113765997-114043369	ENSMUSG00000038156	Spon1	protein_coding	[114041993, 114042423]	2	183	29.6	31	30.2	28.7	16.5	25.1	14.2	17.2	-0.705110059405299	4.7254179560556	0.00273235651807958	0.37274544864702
1	-	chr1:39618405-39651473	ENSMUSG00000050967	Creg2	protein_coding	[39618405]	1	253	48.8	39.4	38.2	40.2	24.8	17.8	33.9	29.3	-0.622812776481357	5.16790793497628	0.0027710403844204	0.37274544864702
8	+	chr8:94179088-94180324	ENSMUSG00000031765	Mt1	protein_coding	[94180324]	1	1776	323.9	297.6	214	281.6	227.3	223.7	195.5	154.4	-0.476664363636667	7.91214469486913	0.0027925140198269	0.37274544864702
11	+	chr11:96789126-96808639	ENSMUSG00000018666	Cbx1	protein_coding	[96808146]	1	1097	109.7	125	135.9	113.8	151.6	229	152.9	149.4	0.487891880626676	7.21493566007366	0.00282142077334098	0.37274544864702
2	-	chr2:128966592-128967724	ENSMUSG00000074807	Gm10762	protein_coding	[128966201, 128966515]	2	213	43.5	34.1	26.6	39.1	23.4	20.9	21.8	22.2	-0.65174404472198	4.93953376049579	0.00286303076807376	0.372989286174053
11	-	chr11:116336352-116413031	ENSMUSG00000052949	Rnf157	protein_coding	[116336380]	1	1089	179.4	149.2	185.6	173.6	164	93	123.4	109	-0.497698239849374	7.21469670770421	0.00292614844026303	0.375460772736283
11	-	chr11:95044473-95076800	ENSMUSG00000001507	Itga3	protein_coding	[95044475]	1	234	24.4	29.5	24	20.7	42.7	35.5	40.4	34.3	0.59105978588641	5.06652818247034	0.00296205726892164	0.375460772736283
6	-	chr6:52201753-52204586	ENSMUSG00000038253	Hoxa5	protein_coding	[52201789]	1	443	59.2	47	45.3	34.5	63.4	105.6	52.4	71.7	0.680024834828367	5.9482291391022	0.00309355649227671	0.385466143001922
12	-	chr12:4592825-4592926	ENSMUSG00000091619	Gm3625	protein_coding	[4591927]	1	35	10.4	7.6	4.4	6.9	2.8	3.1	2.2	1	-1.58273877926635	2.76920740247365	0.00312317983668935	0.385466143001922
7	-	chr7:98590614-98656568	ENSMUSG00000035401	2210018M11Rik	protein_coding	[98587137, 98589506, 98590354, 98588942]	4	562	61	55.3	79	55.2	75.8	94.1	86.3	93.9	0.483594544130033	6.27430752816517	0.00316543283142526	0.385607272191804
4	+	chr4:127123690-127129643	ENSMUSG00000070737	Gm12942	protein_coding	[127129643, 127124291]	2	250	38.3	41.7	39.1	39.1	19.3	27.2	32.8	25.2	-0.587206716187032	5.14225887077401	0.00322411701150191	0.387720738049846
13	-	chr13:54592400-54611343	ENSMUSG00000047547	Cltb	protein_coding	[54592426]	1	236	38.3	34.8	35.5	44.8	23.4	31.4	19.7	24.2	-0.610220880301361	5.07225695177615	0.00335954375278991	0.390506876675428
17	+	chr17:34187552-34197224	ENSMUSG00000037321	Tap1	protein_coding	[34197218]	1	101	19.2	26.5	10.7	14.9	6.9	8.4	6.6	11.1	-1.10038378718835	3.9548540307595	0.00337140102987325	0.390506876675428
11	+	chr11:101082564-101086618	ENSMUSG00000001755	Coasy	protein_coding	[101086618]	1	558	102.7	103.7	71	74.7	56.5	49.1	73.2	62.6	-0.535117012219539	6.25315714810108	0.00339818597624819	0.390506876675428
17	+	chr17:35821683-35822922	ENSMUSG00000003541	Ier3	protein_coding	[35822915]	1	372	66.2	59.8	52.4	62.1	53.7	30.3	44.8	33.3	-0.575890813930138	5.70007395121901	0.00341381278117112	0.390506876675428
14	-	chr14:25711641-25769038	ENSMUSG00000055538	Zcchc24	protein_coding	[25711648]	1	234	34.8	42.4	33.7	36.8	17.9	22	27.3	29.3	-0.609522690592576	5.05009389343409	0.00358357422087807	0.404226085745452
8	-	chr8:122628738-122699108	ENSMUSG00000006362	Cbfa2t3	protein_coding	[122628741]	1	105	0	10.6	12.4	10.3	11	23	19.7	20.2	1.01103169656323	4.01038291760177	0.00361993509622793	0.404226085745452
