chr	strand	gene_locus	gene_id	gene_name	gene_biotype	sites_position_cDNA	sites_num	cDNA_sum	c1.KO_WT1	c2.KO_WT2	c3.KO_WT3	c4.KO_WT4	t1.KO_HOM1	t2.KO_HOM2	t3.KO_HOM3	t4.KO_HOM4	logFC	logCPM	PValue	FDR
7	+	chr7:127967456-127982367	ENSMUSG00000030795	Fus	protein_coding	[127982028]	1	50456	8931.7	9345.1	9202.5	8447.1	19.5	17.8	16.7	12.5	-9.07309057352475	12.1353794598805	0	0
7	+	chr7:128003988-128011392	ENSMUSG00000042828	Trim72	protein_coding	[128011391]	1	435	0.7	1.4	0	1.6	74.8	86.8	78.3	43.6	6.18016606403001	5.25049385123003	2.52474018695877e-54	1.26792452189069e-50
3	-	chr3:87987530-88000229	ENSMUSG00000004892	Bcan	protein_coding	[87987534]	1	4898	532	538.8	523.9	625.5	314.1	303.1	267.1	311.6	-0.892240985206829	8.74089191159262	2.28902236116453e-18	7.66364686517884e-15
8	+	chr8:72723287-72758202	ENSMUSG00000031622	Sin3b	protein_coding	[72758200, 72739900]	2	2731	184	170.8	166.4	164.5	303.2	305.4	287.1	277.9	0.774095406751658	7.87149886035607	1.13488196937583e-14	2.8496886251027e-11
16	+	chr16:91269771-91271932	ENSMUSG00000046160	Olig1	protein_coding	[91271929]	1	2366	247	235.1	268	285.6	155.9	148.4	164	143.9	-0.758146404143923	7.69284207662291	2.93892854289897e-12	5.90371965697544e-09
2	-	chr2:114009600-114013618	ENSMUSG00000068615	Gjd2	protein_coding	[114009607]	1	4932	537.6	504.2	488.7	522.3	338.3	394.5	313.9	311	-0.594691142269769	8.73966892260491	7.15087621688018e-09	1.14036259914371e-05
11	+	chr11:83473085-83506742	ENSMUSG00000020680	Taf15	protein_coding	[83489212, 83506741]	2	1499	90.6	94.8	99.4	93.1	182.4	157	180	128.1	0.773489040859164	7.01931528313511	7.9475688908861e-09	1.14036259914371e-05
3	-	chr3:10204087-10208575	ENSMUSG00000062515	Fabp4	protein_coding	[10204346]	1	4890	5.5	2.8	10.6	3.1	7	1.7	2	3198	7.16574999594277	8.66982485530963	3.73043006502734e-08	4.68355494664183e-05
10	+	chr10:20952546-21080427	ENSMUSG00000019986	Ahi1	protein_coding	[21080427]	1	4394	457.3	440.6	434.4	472.6	311	354.9	290.5	277.9	-0.546431252194376	8.57382766239131	1.09372242024492e-07	0.000122059422099333
7	+	chr7:127983078-127985700	ENSMUSG00000063254	B230325K18Rik	protein_coding	[127984882]	1	32	4.8	4.8	4.2	7.8	0	0.6	0.7	0	-3.70689590432553	2.04863236829175	2.75297462278909e-07	0.000276508771112936
13	+	chr13:119462758-119486116	ENSMUSG00000062822	4833420G17Rik	protein_coding	[119486116, 119464332]	2	1879	132.8	130	123.4	135	202.6	200.1	180.7	179.6	0.549518802769973	7.34100262195753	4.04677080573136e-07	0.000364368907492741
14	-	chr14:31088131-31128929	ENSMUSG00000058351	Smim4	protein_coding	[31124505]	1	1107	74	74.7	75.5	75.3	103.7	119.1	117.1	114.2	0.603859536754693	6.58325261693538	4.3532724909527e-07	0.000364368907492741
7	+	chr7:66060298-66074581	ENSMUSG00000030512	Snrpa1	protein_coding	[66074579]	1	943	54.7	67.8	65.6	59	115.4	88.6	101.1	95.1	0.687750748841027	6.36321701771178	5.49584119715309e-07	0.000399774805022925
1	-	chr1:123321470-124045558	ENSMUSG00000036815	Dpp10	protein_coding	[123333736, 123331818, 123341147]	3	553	68.5	52.6	77.6	53.6	27.3	28.8	40.8	35	-0.934061253415258	5.62010429712788	5.57232902262142e-07	0.000399774805022925
