chr	strand	gene_locus	gene_id	gene_name	gene_biotype	sites_position_cDNA	sites_num	cDNA_sum	c1:KO_WT1	c2:KO_WT2	c3:KO_WT3	c4:KO_WT4	t1:KO_HOM1	t2:KO_HOM2	t3:KO_HOM3	t4:KO_HOM4
X	-	chrX:73655993-73660116	ENSMUSG00000002012	Pnck	protein_coding	[73655991]	1	2202	317	291	286	281	223	344	255	205
X	-	chrX:73778962-73786896	ENSMUSG00000002010	Idh3g	protein_coding	[73778966]	1	2572	275	301	290	249	288	413	293	463
17	-	chr17:75537085-75551945	ENSMUSG00000002017	Fam98a	protein_coding	[75537085]	1	147	13	14	17	18	18	29	15	23
3	-	chr3:148815582-148990554	ENSMUSG00000028184	Adgrl2	protein_coding	[148954670, 148815855]	2	2746	352	371	356	276	316	443	318	314
3	-	chr3:146505955-146521428	ENSMUSG00000028187	Rpf1	protein_coding	[146506417]	1	127	17	9	17	14	21	21	10	18
5	-	chr5:30573986-30588618	ENSMUSG00000053214	Gm9899	pseudogene	[30573988]	1	213	20	27	25	28	17	39	29	28
10	-	chr10:127190377-127195727	ENSMUSG00000040415	Dtx3	protein_coding	[127190378]	1	614	93	86	70	73	43	96	67	86
5	+	chr5:143548705-143564530	ENSMUSG00000083012	Fam220a	protein_coding	[143551936, 143564529]	2	347	39	33	44	27	46	66	48	44
7	+	chr7:83631958-83653126	ENSMUSG00000046027	Stard5	protein_coding	[83642321]	1	118	14	13	16	19	11	14	13	18
11	+	chr11:115603924-115608035	ENSMUSG00000046756	Mrps7	protein_coding	[115607313]	1	201	33	21	20	22	18	26	27	34
1	+	chr1:66436081-66436231	ENSMUSG00000065694	Gm25411	snRNA	[66439928, 66440753]	2	1992	268	258	330	213	211	264	228	220
X	-	chrX:73686177-73716174	ENSMUSG00000002015	Bcap31	protein_coding	[73686181]	1	1363	173	136	175	166	144	187	162	220
13	+	chr13:51651696-51684043	ENSMUSG00000035139	Secisbp2	protein_coding	[51684042]	1	232	23	20	35	15	38	33	28	40
X	+	chrX:73787027-73790829	ENSMUSG00000002014	Ssr4	protein_coding	[73790823]	1	738	81	74	77	78	100	115	100	113
12	+	chr12:52516076-52567851	ENSMUSG00000035133	Arhgap5	protein_coding	[52569218, 52569652]	2	276	30	40	41	28	31	33	31	42
1	+	chr1:146494759-146902471	ENSMUSG00000035131	Brinp3	protein_coding	[146495841]	1	1822	272	243	220	179	212	306	236	154
5	-	chr5:21884453-22344701	ENSMUSG00000042453	Reln	protein_coding	[21884461]	1	3067	403	374	441	329	353	417	418	332
11	-	chr11:115892594-115933476	ENSMUSG00000020752	Recql5	protein_coding	[115892596]	1	215	24	35	21	20	26	45	20	24
11	+	chr11:115974708-116008411	ENSMUSG00000020758	Itgb4	protein_coding	[116008410]	1	47	2	6	9	3	7	9	3	8
5	+	chr5:135806889-135874771	ENSMUSG00000039860	Srrm3	protein_coding	[135874771]	1	337	45	42	36	48	36	49	45	36
4	+	chr4:3574874-3616618	ENSMUSG00000028233	Tgs1	protein_coding	[3616609, 3585477]	2	621	77	80	83	65	86	97	71	62
4	-	chr4:3549040-3574852	ENSMUSG00000028232	Tmem68	protein_coding	[3549276]	1	330	30	55	49	28	42	44	42	40
4	-	chr4:3831333-3835664	ENSMUSG00000028234	Rps20	protein_coding	[3834472]	1	18982	2229	2249	2134	2072	2136	3076	2359	2727
19	+	chr19:5601872-5603438	ENSMUSG00000024925	Rnaseh2c	protein_coding	[5602933]	1	424	45	56	50	52	51	59	63	48
6	-	chr6:113493638-113501930	ENSMUSG00000045009	Prrt3	protein_coding	[113493925]	1	35	1	7	3	1	5	8	9	1
X	+	chrX:21484543-21489163	ENSMUSG00000068122	Agtr2	protein_coding	[21488824]	1	77	10	8	7	8	10	8	10	16
10	-	chr10:59164112-59221846	ENSMUSG00000019917	Sept10	protein_coding	[59164121]	1	77	10	7	16	6	10	11	5	12
5	+	chr5:135994799-136032871	ENSMUSG00000004947	Dtx2	protein_coding	[136032863]	1	428	52	29	43	39	44	74	85	62
2	-	chr2:130171413-130179402	ENSMUSG00000027404	Snrpb	protein_coding	[130171644]	1	1503	177	186	162	141	173	233	225	206
2	-	chr2:130279308-130284546	ENSMUSG00000027406	Idh3b	protein_coding	[130279312]	1	1655	183	179	176	163	180	216	237	321
11	-	chr11:53259813-53300456	ENSMUSG00000020361	Hspa4	protein_coding	[53261576, 53259816]	2	5033	641	556	562	575	588	633	713	765
1	+	chr1:171418871-171420351	ENSMUSG00000103711	Tstd1	protein_coding	[171420348]	1	36	7	2	5	5	2	3	6	6
11	+	chr11:49794177-49838612	ENSMUSG00000020363	Gfpt2	protein_coding	[49838611]	1	146	16	17	19	16	19	23	21	15
11	-	chr11:49671502-49712722	ENSMUSG00000020362	Cnot6	protein_coding	[49671505, 49673503]	2	1832	223	239	194	174	223	308	243	228
