chr	strand	gene_locus	gene_id	gene_name	gene_biotype	sites_position_cDNA	sites_num	cDNA_sum	c1:d14_WT1	c2:d14_WT2	c3:d14_WT3	c4:d14_WT4	t1:d14_HET1	t2:d14_HET2	t3:d14_HET3	t4:d14_HET4
X	-	chrX:73655993-73660116	ENSMUSG00000002012	Pnck	protein_coding	[73655991]	1	1591	126	326	196	176	221	211	188	147
X	-	chrX:73778962-73786896	ENSMUSG00000002010	Idh3g	protein_coding	[73778966]	1	1488	121	227	198	156	185	192	212	197
17	-	chr17:75537085-75551945	ENSMUSG00000002017	Fam98a	protein_coding	[75537085]	1	97	8	21	11	7	16	9	16	9
3	-	chr3:148815582-148990554	ENSMUSG00000028184	Adgrl2	protein_coding	[148954670, 148815855]	2	2851	207	467	444	303	313	335	398	384
3	-	chr3:146505955-146521428	ENSMUSG00000028187	Rpf1	protein_coding	[146506417]	1	43	2	5	6	8	7	2	6	7
5	-	chr5:30573986-30588618	ENSMUSG00000053214	Gm9899	pseudogene	[30573988]	1	77	3	16	13	7	13	9	6	10
10	-	chr10:127190377-127195727	ENSMUSG00000040415	Dtx3	protein_coding	[127190378]	1	488	35	74	82	57	56	65	55	64
5	+	chr5:143548705-143564530	ENSMUSG00000083012	Fam220a	protein_coding	[143551936]	1	134	9	14	21	11	19	20	19	21
7	+	chr7:83631958-83653126	ENSMUSG00000046027	Stard5	protein_coding	[83642321]	1	68	7	12	7	12	11	5	6	8
11	+	chr11:115603924-115608035	ENSMUSG00000046756	Mrps7	protein_coding	[115607313]	1	147	11	34	17	12	18	23	16	16
1	+	chr1:66436081-66436231	ENSMUSG00000065694	Gm25411	snRNA	[66439928, 66440753]	2	1878	139	346	316	180	220	215	259	203
X	-	chrX:73686177-73716174	ENSMUSG00000002015	Bcap31	protein_coding	[73686181]	1	1021	84	170	145	90	120	125	137	150
13	+	chr13:51651696-51684043	ENSMUSG00000035139	Secisbp2	protein_coding	[51684042]	1	229	19	39	36	27	28	25	32	23
X	+	chrX:73787027-73790829	ENSMUSG00000002014	Ssr4	protein_coding	[73790823]	1	432	31	69	60	43	55	73	55	46
12	+	chr12:52516076-52567851	ENSMUSG00000035133	Arhgap5	protein_coding	[52569218, 52569652, 52569063]	3	364	31	53	61	30	52	45	46	46
1	+	chr1:146494759-146902471	ENSMUSG00000035131	Brinp3	protein_coding	[146495841]	1	1301	88	196	155	169	165	187	164	177
5	-	chr5:21884453-22344701	ENSMUSG00000042453	Reln	protein_coding	[21884461]	1	1486	121	246	220	153	169	152	205	220
11	-	chr11:115892594-115933476	ENSMUSG00000020752	Recql5	protein_coding	[115892596]	1	86	7	14	9	11	7	17	9	12
5	+	chr5:135806889-135874771	ENSMUSG00000039860	Srrm3	protein_coding	[135874771]	1	261	18	44	41	24	36	29	33	36
4	+	chr4:3574874-3616618	ENSMUSG00000028233	Tgs1	protein_coding	[3616609, 3585477]	2	481	37	78	65	53	45	64	67	72
4	-	chr4:3549040-3574852	ENSMUSG00000028232	Tmem68	protein_coding	[3549276]	1	332	24	59	52	39	39	39	41	39
4	-	chr4:3831333-3835664	ENSMUSG00000028234	Rps20	protein_coding	[3834472]	1	10149	717	1836	1369	1183	1243	1463	1183	1155
19	+	chr19:5601872-5603438	ENSMUSG00000024925	Rnaseh2c	protein_coding	[5602933]	1	209	16	39	36	19	16	24	28	31
